context,model,seed,prob_kind,bin,n,mean_pred,observed_rate,p_min,p_max
temporal,rf,2,raw,9,29305,0.2385516692259569,0.3168742535403515,0.21666666666666667,0.26666666666666666
temporal,rf,2,raw,10,29305,0.3264910424842177,0.36812830574987204,0.26666666666666666,0.7
temporal,rf,2,recal,1,29306,0.0673025109629127,0.1086125708046134,1.7631893506967837e-06,0.09577223244274509
temporal,rf,2,recal,2,29306,0.11427055445655482,0.14884324029209037,0.09577223244274509,0.13293865229821233
temporal,rf,2,recal,3,29306,0.14667106689522813,0.17733569917423053,0.13293865229821233,0.16381672926644303
temporal,rf,2,recal,4,29306,0.1759279298665705,0.1982529174912987,0.16381672926644303,0.18888726425440525
temporal,rf,2,recal,5,29306,0.2044743176780413,0.21859004981914967,0.18888726425440525,0.2182095443108414
temporal,rf,2,recal,6,29306,0.23402922267770304,0.2375963966423258,0.2182095443108414,0.2514106307226213
temporal,rf,2,recal,7,29306,0.2664237119007066,0.26185764007370504,0.2514106307226213,0.28357438359515436
temporal,rf,2,recal,8,29305,0.3046658800785304,0.2921003241767616,0.28357438359515436,0.32781742267340386
temporal,rf,2,recal,9,29305,0.35566751894272547,0.3168742535403515,0.32781742267340386,0.39067498250712634
temporal,rf,2,recal,10,29305,0.4587635291014706,0.36812830574987204,0.39067498250712634,0.8044626176814337
cross_segment,logreg,0,raw,1,3281,0.05294740505868214,0.049679975617189884,9.85082772356023e-05,0.07361422631497029
cross_segment,logreg,0,raw,2,3281,0.08553769936359139,0.0743675708625419,0.07362333697775487,0.09668105446905083
cross_segment,logreg,0,raw,3,3281,0.10637801066273112,0.08625419079548918,0.09668957725560114,0.11549741373227033
cross_segment,logreg,0,raw,4,3281,0.12395095485330636,0.1030173727522097,0.11549767301534311,0.13274563541739906
cross_segment,logreg,0,raw,5,3280,0.14124462282024772,0.11432926829268293,0.13274595322903981,0.14991893383040947
cross_segment,logreg,0,raw,6,3280,0.15909112640387263,0.13048780487804879,0.14992734075858236,0.16870969196990773
cross_segment,logreg,0,raw,7,3280,0.1790542032483127,0.15335365853658536,0.16871330948317628,0.18990686274891394
cross_segment,logreg,0,raw,8,3280,0.2021769622397167,0.16676829268292684,0.1899124590981544,0.21617676091287946
cross_segment,logreg,0,raw,9,3280,0.23477616706010868,0.20670731707317072,0.21619823795763474,0.2563327548699021
cross_segment,logreg,0,raw,10,3280,0.30414433914368,0.2347560975609756,0.2563504909160466,0.5646031133704442
cross_segment,logreg,0,recal,1,3281,0.04274495452673376,0.049679975617189884,7.860762486482313e-05,0.05962833933844035
cross_segment,logreg,0,recal,2,3281,0.06946409112001842,0.0743675708625419,0.05963583050410753,0.0786849598021309
cross_segment,logreg,0,recal,3,3281,0.08675534843293428,0.08625419079548918,0.07869203436752625,0.09436474677287672
cross_segment,logreg,0,recal,4,3281,0.10145323799508457,0.1030173727522097,0.09436496367605722,0.10884540821280761
cross_segment,logreg,0,recal,5,3280,0.11602316876255796,0.11432926829268293,0.10884567598547569,0.12336656668386485
cross_segment,logreg,0,recal,6,3280,0.1311700124670767,0.13048780487804879,0.12337370074419397,0.13937491695987814
cross_segment,logreg,0,recal,7,3280,0.1482482747831811,0.15335365853658536,0.139378010931549,0.15758506977140968
cross_segment,logreg,0,recal,8,3280,0.16821080907714847,0.16676829268292684,0.1575898989229149,0.18037943535257842
cross_segment,logreg,0,recal,9,3280,0.1966966239934513,0.20670731707317072,0.18039817447383963,0.21571590453403872
cross_segment,logreg,0,recal,10,3280,0.2589589536761929,0.2347560975609756,0.21573164549592216,0.50854248248189
cross_segment,hgb,0,raw,1,3281,0.06512490425485785,0.04266991770801585,0.022850653152624672,0.08121429847744664
cross_segment,hgb,0,raw,2,3281,0.09095655299599353,0.06309052118256629,0.08121542517480058,0.0998581791408256
cross_segment,hgb,0,raw,3,3281,0.1079904076765175,0.08625419079548918,0.09985866626956953,0.11587353610894004
